Session,Day,Turnover,Player Last Name,Player Primary Position,Drill Title,Drill Start Time,Drill End Time,Session Start Time,Session End Time,Total Time,Total Distance,Distance Zone 4 (Absolute),Distance Zone 5 (Absolute),Distance Zone 6 (Absolute),HSR Per Minute (Absolute),Sprint Distance,Accelerations Per Min,Decelerations Per Min,Max Speed,Distance Per Min,Accelerations,Decelerations,HMLD Per Minute,HML Distance
1,MD-4,6,Glazer,,"Passing Drill, Tactical, 3 Structures, 3 Mini Goals, Set 1",16:31:31,16:36:01,16:31:31,17:31:28,0:04:30,517,120,13,0,2.87,18,1.33,0.67,22.15,114.91,6,3,19.38,87
1,MD-4,6,Glazer,,"Passing Drill, Tactical, 3 Structures, 3 Mini Goals, Set 2",16:39:16,16:43:59,16:31:31,17:31:28,0:04:42,587,177,28,0,5.89,39,2.12,0.85,23.87,124.58,10,4,23.09,109
1,MD-4,6,Glazer,,"Passing Drill, Tactical, 3 Structures, 3 Mini Goals, Set 3",16:45:42,16:50:13,16:31:31,17:31:28,0:04:31,541,160,41,0,9.01,52,2.21,0.89,24.31,119.8,10,4,27.17,123
1,MD-4,6,Glazer,,"Possession Game 10vs10+2J (40*60m), 15 Passes Goal, Set 1",16:54:49,16:57:49,16:31:31,17:31:28,0:03:00,417,102,10,0,3.49,9,1.33,1,22.49,138.88,4,3,40.02,120
1,MD-4,6,Glazer,,"Possession Game 10vs10+2J (40*60m), 15 Passes Goal, Set 2",16:59:20,17:02:20,16:31:31,17:31:28,0:03:00,426,92,18,0,5.87,26,0.33,1,23.63,141.83,1,3,38.65,116
1,MD-4,6,Glazer,,"Possession Game 10vs10+2J (40*60m), 15 Passes Goal, Set 3",17:04:11,17:07:11,16:31:31,17:31:28,0:03:00,354,61,9,0,2.95,11,2,3,22.75,117.84,6,9,29.13,87
1,MD-4,6,Glazer,,"Possession Game 10vs10+2J (40*60m), 15 Passes Goal, Set 4",17:08:45,17:11:45,16:31:31,17:31:28,0:03:00,373,61,2,0,0.76,4,1,1.33,21.07,124.34,3,4,33.07,99
1,MD-4,6,Glazer,,"Tactical 11vs11 (68*78m), Set 1",17:19:47,17:24:28,16:31:31,17:31:28,0:04:40,591,109,35,8,9.22,35,1.5,1.07,27.17,126.47,7,5,32.77,153
1,MD-4,6,Glazer,,"Tactical 11vs11 (68*78m), Set 2",17:26:55,17:31:28,16:31:31,17:31:28,0:04:32,509,82,23,1,5.37,26,1.1,0.88,25.93,112.13,5,4,22.47,102
1,MD-4,6,Agvadish,,"Passing Drill, Tactical, 3 Structures, 3 Mini Goals, Set 1",16:31:31,16:36:01,16:31:31,17:31:28,0:04:30,519,68,11,0,2.49,19,2.22,0.44,23.66,115.19,10,2,16.97,76
1,MD-4,6,Agvadish,,"Passing Drill, Tactical, 3 Structures, 3 Mini Goals, Set 2",16:39:16,16:43:59,16:31:31,17:31:28,0:04:42,562,51,51,0,10.79,63,1.91,0,24.99,119.28,9,0,19.02,90
1,MD-4,6,Agvadish,,"Passing Drill, Tactical, 3 Structures, 3 Mini Goals, Set 3",16:45:42,16:50:13,16:31:31,17:31:28,0:04:31,445,43,7,0,1.55,13,1.55,0,22.84,98.55,7,0,15.63,71
1,MD-4,6,Agvadish,,"Possession Game 10vs10+2J (40*60m), 15 Passes Goal, Set 1",16:54:49,16:57:49,16:31:31,17:31:28,0:03:00,360,45,2,0,0.78,0,1.67,1.67,21.56,119.78,5,5,23.91,72
1,MD-4,6,Agvadish,,"Possession Game 10vs10+2J (40*60m), 15 Passes Goal, Set 2",16:59:20,17:02:20,16:31:31,17:31:28,0:03:00,353,24,6,0,2.07,5,1.33,2.67,20.9,117.51,4,8,18.35,55
1,MD-4,6,Agvadish,,"Possession Game 10vs10+2J (40*60m), 15 Passes Goal, Set 3",17:04:11,17:07:11,16:31:31,17:31:28,0:03:00,392,84,21,0,6.85,28,1.67,2,23.1,130.7,5,6,39.05,117
1,MD-4,6,Agvadish,,"Possession Game 10vs10+2J (40*60m), 15 Passes Goal, Set 4",17:08:45,17:11:45,16:31:31,17:31:28,0:03:00,369,37,12,0,4.01,11,1.33,3.33,22.97,122.88,4,10,27.8,83
1,MD-4,6,Agvadish,,"Tactical 11vs11 (68*78m), Set 1",17:19:47,17:24:28,16:31:31,17:31:28,0:04:40,523,64,23,0,4.85,30,0.86,0.43,23.83,112.07,4,2,19.29,90
1,MD-4,6,Agvadish,,"Tactical 11vs11 (68*78m), Set 2",17:26:55,17:31:28,16:31:31,17:31:28,0:04:32,554,84,67,0,14.85,87,1.32,1.32,23.67,122.03,6,6,31.76,144
1,MD-4,6,Maliach,,"Passing Drill, Tactical, 3 Structures, 3 Mini Goals, Set 1",16:31:31,16:36:01,16:31:31,17:31:28,0:04:30,421,89,3,0,0.75,0,1.55,0.67,21.06,93.52,7,3,12.57,57
1,MD-4,6,Maliach,,"Passing Drill, Tactical, 3 Structures, 3 Mini Goals, Set 2",16:39:16,16:43:59,16:31:31,17:31:28,0:04:42,486,123,47,1,10.22,61,0.85,0.42,25.28,103.11,4,2,18.66,88
1,MD-4,6,Maliach,,"Passing Drill, Tactical, 3 Structures, 3 Mini Goals, Set 3",16:45:42,16:50:13,16:31:31,17:31:28,0:04:31,396,62,0,0,0,0,0.22,0.22,19.21,87.59,1,1,8.69,39
1,MD-4,6,Eshata,,"Passing Drill, Tactical, 3 Structures, 3 Mini Goals, Set 1",16:31:31,16:36:01,16:31:31,17:31:28,0:04:30,486,93,4,0,0.87,0,1.78,0.89,20.56,108.05,8,4,17.26,78
1,MD-4,6,Eshata,,"Passing Drill, Tactical, 3 Structures, 3 Mini Goals, Set 2",16:39:16,16:43:59,16:31:31,17:31:28,0:04:42,477,104,29,0,6.19,39,1.91,0.64,24.44,101.18,9,3,14.35,68
1,MD-4,6,Eshata,,"Passing Drill, Tactical, 3 Structures, 3 Mini Goals, Set 3",16:45:42,16:50:13,16:31:31,17:31:28,0:04:31,479,97,21,1,4.93,44,1.55,0.66,26.37,106.09,7,3,16.52,75
1,MD-4,6,Eshata,,"Possession Game 10vs10+2J (40*60m), 15 Passes Goal, Set 1",16:54:49,16:57:49,16:31:31,17:31:28,0:03:00,430,61,8,0,2.67,8,1,1.33,21.7,143.32,3,4,27.2,82
1,MD-4,6,Eshata,,"Possession Game 10vs10+2J (40*60m), 15 Passes Goal, Set 2",16:59:20,17:02:20,16:31:31,17:31:28,0:03:00,422,36,0,0,0,0,1.67,2.33,19.41,140.73,5,7,23.57,71
1,MD-4,6,Eshata,,"Possession Game 10vs10+2J (40*60m), 15 Passes Goal, Set 3",17:04:11,17:07:11,16:31:31,17:31:28,0:03:00,416,62,19,0,6.37,20,2.33,2,24.48,138.6,7,6,32.26,97
1,MD-4,6,Eshata,,"Possession Game 10vs10+2J (40*60m), 15 Passes Goal, Set 4",17:08:45,17:11:45,16:31:31,17:31:28,0:03:00,441,76,4,0,1.31,4,1.67,1.33,21.16,146.89,5,4,28.37,85
1,MD-4,6,Eshata,,"Tactical 11vs11 (68*78m), Set 1",17:19:47,17:24:28,16:31:31,17:31:28,0:04:40,519,42,29,0,6.12,32,1.5,1.71,25.06,111.21,7,8,17.71,83
1,MD-4,6,Eshata,,"Tactical 11vs11 (68*78m), Set 2",17:26:55,17:31:28,16:31:31,17:31:28,0:04:32,516,118,37,0,8.09,39,1.32,1.32,24.45,113.51,6,6,26.04,118
1,MD-4,6,Altman,,"Passing Drill, Tactical, 3 Structures, 3 Mini Goals, Set 1",16:31:31,16:36:01,16:31:31,17:31:28,0:04:30,517,174,13,0,2.98,16,1.33,0.67,22.68,114.76,6,3,24.17,109
1,MD-4,6,Altman,,"Passing Drill, Tactical, 3 Structures, 3 Mini Goals, Set 2",16:39:16,16:43:59,16:31:31,17:31:28,0:04:42,464,80,26,0,5.56,36,0.64,0,23.57,98.36,3,0,13.22,62
1,MD-4,6,Altman,,"Passing Drill, Tactical, 3 Structures, 3 Mini Goals, Set 3",16:45:42,16:50:13,16:31:31,17:31:28,0:04:31,487,146,13,0,2.79,16,1.33,0.66,23.96,107.77,6,3,21.83,99
1,MD-4,6,Biton,,"Passing Drill, Tactical, 3 Structures, 3 Mini Goals, Set 1",16:31:31,16:36:01,16:31:31,17:31:28,0:04:30,492,186,16,0,3.54,46,2.22,0.44,22.82,109.32,10,2,22.74,102
1,MD-4,6,Biton,,"Passing Drill, Tactical, 3 Structures, 3 Mini Goals, Set 2",16:39:16,16:43:59,16:31:31,17:31:28,0:04:42,415,107,27,0,5.81,47,1.7,0,24.77,88.11,8,0,15.65,74
1,MD-4,6,Biton,,"Passing Drill, Tactical, 3 Structures, 3 Mini Goals, Set 3",16:45:42,16:50:13,16:31:31,17:31:28,0:04:31,463,148,36,1,8.13,53,1.55,0,25.45,102.48,7,0,20.56,93
1,MD-4,6,Biton,,"Possession Game 10vs10+2J (40*60m), 15 Passes Goal, Set 1",16:54:49,16:57:49,16:31:31,17:31:28,0:03:00,380,24,0,0,0,0,1.33,1.33,17.69,126.7,4,4,19.11,57
1,MD-4,6,Biton,,"Possession Game 10vs10+2J (40*60m), 15 Passes Goal, Set 2",16:59:20,17:02:20,16:31:31,17:31:28,0:03:00,355,38,6,0,2.12,12,2.33,1.33,21.67,118.3,7,4,15.91,48
1,MD-4,6,Biton,,"Possession Game 10vs10+2J (40*60m), 15 Passes Goal, Set 3",17:04:11,17:07:11,16:31:31,17:31:28,0:03:00,391,61,11,4,5.1,25,1.67,2,27.4,130.26,5,6,27.75,83
1,MD-4,6,Biton,,"Possession Game 10vs10+2J (40*60m), 15 Passes Goal, Set 4",17:08:45,17:11:45,16:31:31,17:31:28,0:03:00,318,43,5,0,1.51,6,1.33,0.67,21.19,105.86,4,2,15.71,47
1,MD-4,6,Biton,,"Tactical 11vs11 (68*78m), Set 1",17:19:47,17:24:28,16:31:31,17:31:28,0:04:40,507,71,10,1,2.19,11,0.86,1.07,25.22,108.58,4,5,17.24,81
1,MD-4,6,Biton,,"Tactical 11vs11 (68*78m), Set 2",17:26:55,17:31:28,16:31:31,17:31:28,0:04:32,546,99,58,12,15.51,77,0.66,1.1,26.95,120.12,3,5,31.57,143
1,MD-4,6,Beni,,"Passing Drill, Tactical, 3 Structures, 3 Mini Goals, Set 1",16:31:31,16:36:01,16:31:31,17:31:28,0:04:30,443,107,3,0,0.75,17,2,0.67,20.75,98.31,9,3,16.23,73
1,MD-4,6,Beni,,"Passing Drill, Tactical, 3 Structures, 3 Mini Goals, Set 2",16:39:16,16:43:59,16:31:31,17:31:28,0:04:42,531,110,17,0,3.7,22,2.12,0.42,21.61,112.53,10,2,18.24,86
1,MD-4,6,Beni,,"Passing Drill, Tactical, 3 Structures, 3 Mini Goals, Set 3",16:45:42,16:50:13,16:31:31,17:31:28,0:04:31,483,113,26,0,5.8,36,1.99,0.22,24.11,106.86,9,1,19.61,89
1,MD-4,6,Beni,,"Possession Game 10vs10+2J (40*60m), 15 Passes Goal, Set 1",16:54:49,16:57:49,16:31:31,17:31:28,0:03:00,430,58,2,0,0.56,0,1.33,1.67,20.58,143.34,4,5,28.54,86
1,MD-4,6,Beni,,"Possession Game 10vs10+2J (40*60m), 15 Passes Goal, Set 2",16:59:20,17:02:20,16:31:31,17:31:28,0:03:00,460,108,3,0,0.94,0,1,1.33,20.86,153.39,3,4,37.92,114
