Player Last Name,Player Primary Position,Drill Title,Drill Start Time,Drill End Time,Session Start Time,Session End Time,Total Time,Total Distance,Distance Zone 4 (Absolute),Distance Zone 5 (Absolute),Distance Zone 6 (Absolute),HSR Per Minute (Absolute),Sprint Distance,Accelerations Per Min,Decelerations Per Min,Max Speed,Distance Per Min,Accelerations,Decelerations,HMLD Per Minute,HML Distance,
"Baco",,"Entire Session",11:21:03,12:47:41,11:03:16,13:16:57,01:26:36,5268,289,151,7,1.82,186,0.32,0.21,26.11,60.83,28,18,5.33,462,
"Baco",,"Entire Session - Live",11:21:03,12:40:04,11:03:16,13:16:57,01:19:00,4927,289,151,7,2,186,0.35,0.23,26.11,62.35,28,18,5.85,462,
"Baco",,"Warm-up, Mobility",11:28:12,11:32:09,11:03:16,13:16:57,00:03:56,428,11,0,0,0,0,0.25,0,18.84,108.7,1,0,3.26,13,
"Baco",,"Rondo 6vs2 (6*6m)",11:32:53,11:46:15,11:03:16,13:16:57,00:13:22,493,0,0,0,0,0,0.45,0.15,12.45,36.88,6,2,1.17,16,
"Baco",,"Short Sprint 4*4''/12''",11:49:29,11:50:30,11:03:16,13:16:57,00:01:01,188,58,18,0,17.92,21,1.96,2.94,23.81,184.11,2,3,46.42,47,
"Baco",,"Possession Game 10vs10+3J, 2GK (54*36m, 25m) Set 1",11:50:56,11:53:57,11:03:16,13:16:57,00:03:01,249,0,0,0,0,0,0.33,0.33,14.47,82.56,1,1,5.37,16,
"Baco",,"Possession Game 10vs10+3J, 2GK (54*36m, 25m) Set 2",11:55:25,11:58:26,11:03:16,13:16:57,00:03:01,272,8,2,0,0.75,0,0.66,0.66,20.84,90.08,2,2,7.46,23,
"Baco",,"Possession Game 10vs10+3J, 2GK (54*36m, 25m) Set 3",11:59:56,12:02:57,11:03:16,13:16:57,00:03:01,256,15,0,0,0,0,0.33,0.33,17.5,84.74,1,1,11.31,34,
"Baco",,"Possession Game 10vs10+3J, 2GK (54*36m, 25m) Set 4",12:04:29,12:07:31,11:03:16,13:16:57,00:03:01,297,15,0,0,0,0,1.32,0.33,18.25,98.23,4,1,9.88,30,
"Baco",,"Tactical Defense 11vs11 (All the Field 68*105m)",12:12:47,12:19:18,11:03:16,13:16:57,00:06:30,488,44,6,0,0.88,6,0.46,0.46,21.67,74.9,3,3,7.33,48,
"Baco",,"Tactical Offense 11vs11 (All the Field 68*105m)",12:21:25,12:30:23,11:03:16,13:16:57,00:08:57,722,84,52,0,5.85,60,0.56,0.56,24.89,80.55,5,5,14.45,130,
"Baco",,"Tactical Set Pieces 11vs11 (All the Field 68*105m)",12:32:26,12:39:59,11:03:16,13:16:57,00:07:33,538,52,72,7,10.49,99,0.4,0,26.11,71.16,3,0,13.48,102,
"Glazer",,"Entire Session",11:18:18,13:04:00,11:03:16,13:16:57,01:45:39,5697,485,138,0,1.3,150,0.38,0.26,24.48,53.92,40,27,5.95,629,
"Glazer",,"Entire Session - Live",11:18:18,12:40:04,11:03:16,13:16:57,01:21:45,5195,485,138,0,1.68,150,0.49,0.33,24.48,63.55,40,27,7.69,629,
"Glazer",,"Warm-up, Mobility",11:28:12,11:32:09,11:03:16,13:16:57,00:03:56,424,11,2,0,0.43,0,0.25,0.25,20.57,107.45,1,1,4.66,18,
"Glazer",,"Rondo 6vs2 (6*6m)",11:32:53,11:46:15,11:03:16,13:16:57,00:13:22,458,1,0,0,0,0,0.37,0.6,15.81,34.26,5,8,1.73,23,
"Glazer",,"Short Sprint 4*4''/12''",11:49:29,11:50:30,11:03:16,13:16:57,00:01:01,182,40,24,0,23.11,26,0,0,23.82,178.44,0,0,44.8,46,
"Glazer",,"Possession Game 10vs10+3J, 2GK (54*36m, 25m) Set 1",11:50:56,11:53:57,11:03:16,13:16:57,00:03:01,328,67,10,0,3.25,7,1.33,1.33,22.75,108.82,4,4,24.72,75,
"Glazer",,"Possession Game 10vs10+3J, 2GK (54*36m, 25m) Set 2",11:55:25,11:58:26,11:03:16,13:16:57,00:03:01,302,38,6,0,1.9,7,1.65,0.99,22.12,99.74,5,3,18.53,56,
"Glazer",,"Possession Game 10vs10+3J, 2GK (54*36m, 25m) Set 3",11:59:56,12:02:57,11:03:16,13:16:57,00:03:01,299,38,0,0,0,0,1.33,0.66,18.75,99.01,4,2,21.38,65,
"Glazer",,"Possession Game 10vs10+3J, 2GK (54*36m, 25m) Set 4",12:04:29,12:07:31,11:03:16,13:16:57,00:03:01,300,39,2,0,0.55,0,0.99,0.99,20.23,99.1,3,3,16.47,50,
"Glazer",,"Tactical Defense 11vs11 (All the Field 68*105m)",12:12:47,12:19:18,11:03:16,13:16:57,00:06:30,472,57,23,0,3.53,28,0.61,0.31,24.36,72.54,4,2,12.03,78,
"Glazer",,"Tactical Offense 11vs11 (All the Field 68*105m)",12:21:25,12:30:23,11:03:16,13:16:57,00:08:57,801,143,17,0,1.87,16,0.89,0.22,24.4,89.38,8,2,12.73,114,
"Glazer",,"Tactical Set Pieces 11vs11 (All the Field 68*105m)",12:32:26,12:39:59,11:03:16,13:16:57,00:07:33,433,46,55,0,7.32,66,0.66,0.13,24.48,57.33,5,1,11.97,90,
"Shalom",,"Entire Session",11:21:01,13:03:57,11:03:16,13:16:57,01:42:54,6477,575,283,122,3.94,449,0.25,0.42,31.19,62.94,26,43,8.62,887,
"Shalom",,"Entire Session - Live",11:21:01,12:40:04,11:03:16,13:16:57,01:19:02,5663,575,283,122,5.13,449,0.33,0.54,31.19,71.65,26,43,11.22,887,
"Shalom",,"Warm-up, Mobility",11:28:12,11:32:09,11:03:16,13:16:57,00:03:56,415,2,0,0,0,0,0,0,15.17,105.26,0,0,3.97,16,
"Shalom",,"Rondo 6vs2 (6*6m)",11:32:53,11:46:15,11:03:16,13:16:57,00:13:22,555,0,0,0,0,0,0.37,0.82,13.13,41.53,5,11,1.61,21,
"Shalom",,"Short Sprint 4*4''/12''",11:49:29,11:50:30,11:03:16,13:16:57,00:01:01,159,43,21,0,20.93,29,0.98,0,22.66,155.92,1,0,48.12,49,
"Shalom",,"Possession Game 10vs10+3J, 2GK (54*36m, 25m) Set 1",11:50:56,11:53:57,11:03:16,13:16:57,00:03:01,357,43,15,1,5.28,21,0.66,0.99,25.35,118.17,2,3,27.13,82,
"Shalom",,"Possession Game 10vs10+3J, 2GK (54*36m, 25m) Set 2",11:55:25,11:58:26,11:03:16,13:16:57,00:03:01,330,44,15,0,4.9,15,0.99,2.65,23.9,109.03,3,8,23.03,70,
"Shalom",,"Possession Game 10vs10+3J, 2GK (54*36m, 25m) Set 3",11:59:56,12:02:57,11:03:16,13:16:57,00:03:01,307,66,8,0,2.52,8,0.33,0.66,23.81,101.68,1,2,20.62,62,
"Shalom",,"Possession Game 10vs10+3J, 2GK (54*36m, 25m) Set 4",12:04:29,12:07:31,11:03:16,13:16:57,00:03:01,283,21,9,1,3.37,11,0.99,0.66,26.66,93.73,3,2,14.64,44,
"Shalom",,"Tactical Defense 11vs11 (All the Field 68*105m)",12:12:47,12:19:18,11:03:16,13:16:57,00:06:30,652,81,52,42,14.4,101,0.46,0.92,30.4,100.04,3,6,23.72,154,
"Shalom",,"Tactical Offense 11vs11 (All the Field 68*105m)",12:21:25,12:30:23,11:03:16,13:16:57,00:08:57,1012,197,114,56,18.88,179,0.33,0.89,30.29,112.94,3,8,30.42,273,
"Shalom",,"Tactical Set Pieces 11vs11 (All the Field 68*105m)",12:32:26,12:39:59,11:03:16,13:16:57,00:07:33,499,66,46,22,9.09,81,0.4,0.26,31.19,66.02,3,2,12.87,97,
"Revivo",,"Entire Session",11:12:40,13:03:52,11:03:16,13:16:57,01:51:10,5970,454,249,67,2.84,353,0.49,0.32,30.15,53.69,55,36,6.88,765,
"Revivo",,"Entire Session - Live",11:15:56,12:40:04,11:03:16,13:16:57,01:24:07,5070,440,229,63,3.47,328,0.57,0.42,30.15,60.27,48,35,8.55,720,
"Revivo",,"Warm-up, Mobility",11:28:12,11:32:09,11:03:16,13:16:57,00:03:56,430,5,0,0,0,0,0.25,0,16.96,108.98,1,0,3,12,
"Revivo",,"Rondo 6vs2 (6*6m)",11:32:53,11:46:15,11:03:16,13:16:57,00:13:22,399,0,0,0,0,0,0.45,0.67,13.23,29.85,6,9,1.34,18,
"Revivo",,"Short Sprint 4*4''/12''",11:49:29,11:50:30,11:03:16,13:16:57,00:01:01,182,57,31,0,30.77,45,0,0,23.89,178.21,0,0,53,54,
"Revivo",,"Possession Game 10vs10+3J, 2GK (54*36m, 25m) Set 1",11:50:56,11:53:57,11:03:16,13:16:57,00:03:01,255,24,10,10,6.79,24,1.33,0.66,28.63,84.51,4,2,18.77,57,
"Revivo",,"Possession Game 10vs10+3J, 2GK (54*36m, 25m) Set 2",11:55:25,11:58:26,11:03:16,13:16:57,00:03:01,249,28,6,0,1.91,8,1.32,0.99,22.55,82.43,4,3,16.88,51,
"Revivo",,"Possession Game 10vs10+3J, 2GK (54*36m, 25m) Set 3",11:59:56,12:02:57,11:03:16,13:16:57,00:03:01,283,54,19,0,6.18,22,1.99,0.99,22.61,93.83,6,3,21.08,64,
"Revivo",,"Possession Game 10vs10+3J, 2GK (54*36m, 25m) Set 4",12:04:29,12:07:31,11:03:16,13:16:57,00:03:01,235,34,2,0,0.56,0,2.32,2.32,20.79,77.86,7,7,16.77,51,
"Revivo",,"Tactical Defense 11vs11 (All the Field 68*105m)",12:12:47,12:19:18,11:03:16,13:16:57,00:06:30,422,43,1,0,0.09,0,0.61,0.31,20.03,64.79,4,2,8.25,54,
"Revivo",,"Tactical Offense 11vs11 (All the Field 68*105m)",12:21:25,12:30:23,11:03:16,13:16:57,00:08:57,928,142,136,44,20.09,194,0.56,0.67,30.15,103.52,5,6,29.9,268,
"Revivo",,"Tactical Set Pieces 11vs11 (All the Field 68*105m)",12:32:26,12:39:59,11:03:16,13:16:57,00:07:33,368,42,23,10,4.27,35,1.19,0.4,27.38,48.71,9,3,9.35,71,
"Yao",,"Entire Session",11:23:10,13:14:12,11:03:16,13:16:57,01:51:00,5022,376,172,143,2.83,337,0.59,0.29,31.34,45.24,66,32,6.2,689,
"Yao",,"Entire Session - Live",11:23:10,12:40:04,11:03:16,13:16:57,01:16:53,4151,376,172,143,4.09,337,0.73,0.42,31.34,53.98,56,32,8.69,668,
"Yao",,"Warm-up, Mobility",11:28:12,11:32:09,11:03:16,13:16:57,00:03:56,378,1,0,0,0,0,0.25,0,14.91,95.78,1,0,1.59,6,
